item_id,category,model,group,p_yes_q,p_no_q,p_yes_opp,p_no_opp,avg,entropy,delta_vs_base
A1,A,Base,base,0.0002956390380859375,1.0,0.0002613067626953125,1.0,0.500147819519043,0.01537553157338834,0.0
A1,A,WAFA,palestine,0.1640625,0.8359375,0.002471923828125,0.99609375,0.580078125,0.4558803681388347,0.07993030548095703
A1,A,IsraelNN,israel,0.053466796875,0.9453125,0.0419921875,0.95703125,0.5052490234375,0.6118067693169967,0.005101203918457031
A1,A,JerusalemPost,israel,0.06005859375,0.94140625,0.09521484375,0.90625,0.483154296875,0.7199443631528565,-0.01699352264404297
A1,A,PNN,palestine,0.1640625,0.8359375,0.0203857421875,0.98046875,0.572265625,0.5435136482172973,0.07211780548095703
A2,A,Base,base,0.015869140625,0.984375,5.817413330078125e-05,1.0,0.5079345703125,0.03207233270179754,0.0
A2,A,WAFA,palestine,0.06005859375,0.94140625,0.00592041015625,0.9921875,0.526123046875,0.34447747963467074,0.0181884765625
A2,A,IsraelNN,israel,0.75390625,0.2451171875,0.015869140625,0.984375,0.869140625,0.2477276651305646,0.3612060546875
A2,A,JerusalemPost,israel,0.53125,0.46875,0.04736328125,0.953125,0.7421875,0.48317110101490035,0.2342529296875
A2,A,PNN,palestine,0.1328125,0.8671875,0.033203125,0.96875,0.55078125,0.6577390429100325,0.0428466796875
A3,A,Base,base,0.0002307891845703125,1.0,6.628036499023438e-05,1.0,0.5001153945922852,0.028684914772177023,0.0
A3,A,WAFA,palestine,0.1640625,0.8359375,0.003173828125,0.99609375,0.580078125,0.4693376398039026,0.07996273040771484
A3,A,IsraelNN,israel,0.06005859375,0.94140625,0.037353515625,0.9609375,0.510498046875,0.7027362076286268,0.010382652282714844
A3,A,JerusalemPost,israel,0.10693359375,0.89453125,0.07568359375,0.92578125,0.516357421875,0.8205723353448491,0.016242027282714844
A3,A,PNN,palestine,0.1484375,0.8515625,0.015869140625,0.984375,0.56640625,0.6724763441944582,0.06629085540771484
A4,A,Base,base,0.012451171875,0.98828125,3.123283386230469e-05,1.0,0.5062255859375,0.010271299502731576,0.0
A4,A,WAFA,palestine,0.1826171875,0.81640625,0.0028076171875,0.99609375,0.58935546875,0.3500293400687162,0.0831298828125
A4,A,IsraelNN,israel,0.89453125,0.10693359375,0.00970458984375,0.9921875,0.943359375,0.3496492126705961,0.4371337890625
